genere,classe,persone,quota
F,altro,3.346932386185752,0.1494166243832925
F,aziendale o scolastico,7.986230630792359,0.3565281531603732
F,collettivo,778.2357621579315,34.742667953479085
F,piedi o bici,24.794825011329074,1.1069118308629051
F,privato a motore,1425.6362498137612,63.644475438114334
M,altro,5.908803957990499,0.137927263258415
M,aziendale o scolastico,45.79326670472393,1.068937131296077
M,collettivo,810.0840727179663,18.909525506955326
M,piedi o bici,38.58418665828446,0.9006579518740536
M,privato a motore,3383.6296699610352,78.98295214661614
F,di cui: treno,705.9500784962306,31.515628504296007
M,di cui: treno,704.3072580813243,16.440412186772278
